bank,fiscal_year,sic_code,D_genai,D_ai,genai_intensity,ai_intensity,ln_Y_revenue,ln_Y_nii,ln_L,ln_K,tier1_ratio,ln_assets
FNB Corp,2023,6021,0,0,0.0,0.0,,,,,,
FNB Corp,2024,6021,0,0,0.0,0.0,,,,,,
Fifth Third Bancorp,2018,6021,0,0,0.0,0.0,,,,,,
Fifth Third Bancorp,2019,6021,0,0,0.0,0.0,,,,,,
Fifth Third Bancorp,2020,6021,0,0,0.0,0.0,,,,,,
Fifth Third Bancorp,2021,6021,0,0,0.0,0.0,,,,,,
Fifth Third Bancorp,2022,6021,0,0,0.0,0.0,,,,,,
Fifth Third Bancorp,2023,6021,0,0,0.0,0.0,,,,,,
Fifth Third Bancorp,2024,6021,0,0,0.0,0.0,,,,,,
First Citizens BancShares,2018,6021,0,0,0.0,0.0,,,,,,
First Citizens BancShares,2019,6021,0,0,0.0,0.0,,,,,,
First Citizens BancShares,2020,6021,0,0,0.0,0.0,,,,,,
First Citizens BancShares,2021,6021,0,0,0.0,0.0,,,,,,
First Citizens BancShares,2022,6021,0,0,0.0,0.0,,,,,,
First Citizens BancShares,2023,6021,0,0,0.0,0.0,,,,,,
First Citizens BancShares,2024,6021,0,0,0.0,0.0,,,,,,
First Horizon,2018,6021,0,0,0.0,0.0,,,,,,
First Horizon,2019,6021,0,0,0.0,0.0,,,,,,
First Horizon,2020,6021,0,0,0.0,0.0,,,,,,
First Horizon,2021,6021,0,0,0.0,0.0,,,,,,
First Horizon,2022,6021,0,0,0.0,0.0,,,,,,
First Horizon,2023,6021,0,0,0.0,0.0,,,,,,
First Horizon,2024,6021,0,0,0.0,0.0,,,,,,
Goldman Sachs,2018,6211,0,0,0.0,0.0,,,,,,
Goldman Sachs,2019,6211,0,0,0.0,0.0,10.50632702006454,8.380685946761574,10.553205175168737,13.808453716929002,13.7,13.808453716929002
Goldman Sachs,2020,6211,0,0,0.0,0.0,10.704591874601165,8.46611040118692,10.60905725309463,13.966537506877367,14.7,13.966537506877367
Goldman Sachs,2021,6211,0,0,0.0,0.0,10.991022041663719,8.774931387494947,10.689669599063263,14.19667477674849,14.2,14.19667477674849
Goldman Sachs,2022,6211,0,0,0.0,0.0,10.765638838309634,8.946114375560743,10.789319076925574,14.181402197374902,15.1,14.181402197374902
Goldman Sachs,2023,6211,0,0,0.0,0.0,10.741903225687317,8.789660098061537,10.721062311471126,14.311178278981147,14.9,14.311178278981147
Goldman Sachs,2024,6211,0,0,0.0,0.0,10.778956289890028,8.85366542803745,10.736396675471232,14.346138809026444,15.0,14.346138809026444
Huntington Bancshares,2018,6021,0,0,0.0,0.0,,,,,,
Huntington Bancshares,2019,6021,0,0,0.0,0.0,,,,,,
Huntington Bancshares,2020,6021,0,0,0.0,0.0,,,,,,
Huntington Bancshares,2021,6021,0,0,0.0,0.0,,,,,,
Huntington Bancshares,2022,6021,0,0,0.0,0.0,,,,,,
Huntington Bancshares,2023,6021,0,0,0.0,0.0,,,,,,
Huntington Bancshares,2024,6021,0,0,0.0,0.0,,,,,,
Interactive Brokers,2018,6211,0,0,0.0,0.0,,,,,,
Interactive Brokers,2019,6211,0,0,0.0,0.0,,,,,,
Interactive Brokers,2020,6211,0,0,0.0,0.0,,,,,,
Interactive Brokers,2021,6211,0,0,0.0,0.0,,,,,,
Interactive Brokers,2022,6211,0,0,0.0,0.0,,,,,,
Interactive Brokers,2023,6211,0,0,0.0,0.0,,,,,,
Interactive Brokers,2024,6211,0,0,0.0,0.0,,,,,,
JPMorgan Chase,2018,6021,0,0,0.0,0.0,,,,,,
JPMorgan Chase,2019,6021,0,0,0.0,0.0,11.658124771962427,10.956474663177962,12.456757431183313,14.804076927148664,12.4,14.804076927148664
JPMorgan Chase,2020,6021,0,0,0.0,0.0,11.69086242344636,10.907514398714369,12.450394348261582,15.035180810150003,13.1,15.035180810150003
JPMorgan Chase,2021,6021,0,0,0.0,0.0,11.708895127873731,10.864961952985604,12.509966346529492,15.135549458182043,13.1,15.135549458182043
